10,9
17,17
22,24
35,23
26,13
16,5
8,28
12,39
14,48
28,41
38,38
50,38
36,50
26,53
4,54
3,62
20,68
32,75
16,75
4,80
6,93
6,113
3,101
13,101
14,93
27,98
20,109
35,111
35,122
41,134
31,137
24,126
11,133
24,141
5,126
48,116
57,109
51,99
47,91
36,97
30,88
43,77
36,64
46,52
60,51
59,39
63,29
60,17
53,11
45,3
32,3
41,15
47,27
74,25
80,17
74,8
60,5
90,7
99,4
96,17
88,26
76,35
70,43
70,60
71,76
59,63
48,63
56,74
63,82
78,83
53,86
61,98
71,92
73,109
79,99
91,93
97,86
89,76
81,65
98,72
89,66
93,58
82,49
90,42
96,49
104,44
99,31
110,24
111,12
124,17
120,27
139,7
136,19
138,35
136,45
144,46
139,61
125,47
119,39
112,34
115,53
103,54
105,63
120,63
142,76
127,73
115,73
120,84
131,96
140,94
139,106
124,107
114,100
112,90
110,78
105,101
112,108
96,106
91,117
108,120
101,125
92,131
81,139
80,130
69,129
66,118
59,134
50,124
46,142
68,142
98,140
105,136
125,125
137,127
145,137
133,143
127,136
118,143
144,114
117,125
79,119
