13,24
17,17
19,4
8,15
3,9
6,23
9,34
6,42
15,38
23,28
33,24
43,15
37,11
29,5
27,18
62,5
59,13
46,24
33,35
24,42
14,48
5,54
4,63
8,76
13,64
23,70
29,57
18,56
26,51
34,45
46,43
47,35
56,31
59,41
71,32
63,28
74,22
65,17
75,10
82,4
84,18
84,29
94,21
102,21
103,10
97,5
112,9
121,4
137,12
146,8
150,17
142,20
127,23
122,19
117,20
110,30
104,40
94,47
101,28
91,37
82,46
77,53
74,41
68,48
67,61
60,65
62,55
51,51
50,62
40,62
32,72
48,71
22,79
16,84
8,86
7,105
18,99
25,92
30,84
37,79
42,72
14,107
25,102
35,97
32,105
24,113
13,117
5,123
16,129
5,132
6,108
12,141
4,145
31,144
21,135
9,151
19,148
27,150
36,150
42,147
36,139
33,127
24,120
36,115
41,123
49,114
45,105
43,97
41,88
49,89
54,82
67,73
61,78
72,70
77,61
82,72
93,63
85,58
104,59
97,53
108,47
113,41
123,41
134,33
142,32
150,30
150,42
141,43
138,50
124,57
116,49
113,57
121,66
111,70
99,70
89,71
89,77
99,79
107,79
119,75
126,72
132,66
138,60
152,57
153,66
149,79
143,85
144,72
134,75
123,82
125,89
131,103
137,94
143,103
139,109
150,111
150,95
149,122
130,127
135,119
131,138
134,149
142,136
146,147
151,142
152,134
120,137
120,126
119,118
120,107
119,100
114,96
107,90
101,87
96,93
87,100
80,91
79,86
69,83
69,91
59,90
53,98
58,109
68,98
73,108
65,113
57,122
51,129
50,138
57,143
52,151
63,152
65,137
71,119
62,126
82,127
86,109
74,96
80,105
98,106
109,108
97,128
90,135
81,139
70,138
70,151
89,149
98,142
101,136
80,151
75,145
102,152
108,142
111,132
107,127
94,118
116,146
110,115
101,122
