7,15
22,14
27,33
14,32
3,39
18,46
31,51
34,67
22,58
21,69
8,73
4,59
8,86
16,98
4,99
6,112
19,121
26,111
28,92
35,81
48,75
51,86
57,81
48,96
38,104
43,118
35,125
49,128
57,114
61,103
68,119
60,135
21,132
8,135
75,137
87,126
85,111
71,108
72,101
70,87
89,98
99,104
99,117
95,129
87,139
112,136
111,118
125,128
126,110
116,100
106,91
93,79
79,80
81,65
66,70
71,59
63,55
56,66
47,61
52,51
45,42
37,37
37,27
35,19
40,7
47,16
52,27
62,36
73,33
86,47
93,56
105,60
104,74
117,78
124,86
127,70
137,69
139,87
137,95
137,110
129,49
119,56
104,46
118,37
125,25
110,20
101,33
86,30
96,20
98,7
78,15
67,19
62,9
71,5
110,4
124,8
137,20
140,33
137,57
136,5
134,136
